X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64
None of the Above,Taiwan,No,Asian/Pacific Islander,No,Heterosexual,Man,No,No,Christian,"$200,000 - $299,999",No,No,No,Private,3,My school did not offer,3,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Research","Yes, in high school but not in college","Writing, Coding",Regular Decision off the waitlist,20,"BU, UW, Rutgers, UW Madison, case western ",Vanderbilt was not my first choice but was one of my top choices,"Yes, and I submitted it",No,1530,,No,"Academics, Campus",None,College of Arts of Science,"Yes, Engineering",Electrical and Computer Engineering,No,North,Hank Ingram,No,No,$0 ,No,3,4,2,6,6,6,6,4,6,4,I am not eligible to vote,I am not eligible to vote,1-2 hours,"News websites/apps, Instagram, Youtube",Once a month,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Georgia,,No,White/Caucasian,No,Questioning/unsure,Woman,No,No,Jewish,"$75,000 - $99,999",No,No,No,Public,10+,10+,10+,10+,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Career-oriented internship, Research, Theater, Visual Art, Paid work","Yes, in high school but not in college",Research,Regular Decision,10,"Auburn, UGA, Georgia Tech ",Vanderbilt was not my first choice but was one of my top choices,"Yes, and I submitted it","Yes, but I did not submit it",1540,31,No,"Cost, Academics, Post-grad opportunities","Campus tour, 'Dore For A Day",School of Engineering,No,Chemical Engineering,No,East,Stambaugh,"Yes, more than half the cost of attendance",No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",1,5,2,5,7,6,4,7,7,3,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,News websites/apps,Once a month,Twice a week,Once a semester,Never,None,No,N/A (I have never owned a fake ID)
None of the Above,Serbia,No,White/Caucasian,No,Gay/lesbian,Man,No,Yes,"None (Atheist, Agnostic, etc.)","$50,000 - $74,999",No,No,No,Public,7,My school did not offer,7,2,"Athletics, Community Service",No,,Regular Decision,26,,Vanderbilt was not my first choice nor was it among my top choices,"Yes, and I submitted it","Yes, and I submitted it",,,No,"Cost, Academics, Brand name/rankings",Anchor Day (admitted students day),School of Engineering,No,Biomedical Engineering,"Yes, as a pre-law student",North,Hank Ingram,"Yes, full cost of attendence",No,$0 ,Not sure,2,3,1,6,7,7,4,7,7,6,"Yes, in my home state/country",,6-9 hours,News websites/apps,Once a semester,Once a month,,,,Prefer not to answer,N/A (I have never owned a fake ID)
New Jersey,,No,White/Caucasian,No,Heterosexual,Woman,No,No,Presbyterian ,"$750,000 - $999,999",No,No,No,Public,9,My school did not offer,10+,0,"Academic Clubs/Competition, Athletics, Community Service, Model UN, Research, Paid work",No,,EDII,28,"Indiana University, Wisconsin, Rutgers, Penn State, university of Miami, pulled the rest",Vanderbilt was not my first choice but was one of my top choices,"Yes, and I submitted it",No,1520,,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling, Essay helper","Location, Academics, Brand name/rankings",Anchor Day (admitted students day),College of Arts of Science,No,Economics,No,Sutherland,Sutherland,No,No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",3,2,1,6,7,7,5,4,7,1,"Yes, in my home state/country",I intend to vote for Kamala Harris,2-4 hours,"Television, Instagram, Other social media",Never,Never,Never,Never,Prefer not to answer,Prefer not to answer,Prefer not to answer
Texas,,No,White/Caucasian,Yes,Heterosexual,Woman,No,No,"None (Atheist, Agnostic, etc.)","$100,000 - $149,999",No,No,No,Public,10+,My school did not offer,7,2,"Community Service, Cultural and Affinity Clubs, Family Responsibilities, Music, Paid work","Yes, in both high school and college","Research, Coding, Math",Regular Decision,6,"University of Texas at Austin, University of Houston, Sam Houston State University, University of North Texas",Vanderbilt was my first choice,"Yes, and I submitted it",No,1490,,"Yes, standardized testing (ACT/SAT) tutoring","Cost, Faculty, Campus",Anchor Day (admitted students day),Blair School of Music,No,Musical Arts,No,Sutherland,Hank Ingram,"Yes, more than half the cost of attendance",No,I don't know,Not sure,2,5,2,5,7,7,4,6,7,3,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Podcasts, Instagram, TikTok, Youtube",Never,Once a month,Never,Never,None,No,N/A (I have never owned a fake ID)
New York,,No,Asian/Pacific Islander,No,Heterosexual,Man,No,Yes,Christian,"$50,000 - $74,999",No,No,No,Public,5,My school did not offer,2,My school did not offer,"Athletics, Community Service, Family Responsibilities, Religious group, Paid work","Yes, in high school but not in college",Research,Regular Decision off the waitlist,5,"NYU, Umich, Stonybrook",Vanderbilt was not my first choice but was one of my top choices,"Yes, and I submitted it",No,1520,,"Yes, standardized testing (ACT/SAT) tutoring","Cost, Campus, Student Life",None,School of Engineering,No,Computer Science,No,West,West,"Yes, more than half the cost of attendance",No,"$75,000 - $99,999",Not sure,5,4,3,4,4,4,4,4,4,2,"Yes, in my home state/country",Prefer not to answer,2-4 hours,"Instagram, TikTok, Youtube",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Florida,"Kobe, Japan (lived for 8 years)",No,White/Caucasian,No,Bisexual/pansexual,Woman,No,No,Exploring religions at the moment,"$1,000,000 or more",No,No,No,Private,My school did not offer,6,My school did not offer,My school did not offer,"Advocacy, Athletics, Community Service, Student Government, Theater, Paid work","Yes, in both high school and college","Writing, Research, Coding, Math",Regular Decision,10,"University of Florida, Florida State University, University of Amsterdam, Amsterdam University College, Lehigh University",Vanderbilt was not my first choice but was one of my top choices,No,No,,,No,"Cost, Academics, Student Life",None,Peabody College of Education and Human Development,No,Human and Organizational Development (HOD),No,Hank Ingram,East,No,"Yes, covers full tuition",$0 ,"Not sure, No",2,4,1,5,7,5,5,4,7,3,"Yes, in my home state/country",I intend to vote for Kamala Harris,1-2 hours,"News websites/apps, Podcasts, Youtube",Once a month,Once a semester,Never,Never,None,No,N/A (I have never owned a fake ID)
Florida,,No,White/Caucasian,No,Heterosexual,Woman,No,No,Jewish,"$750,000 - $999,999",No,No,No,Private,6,My school did not offer,7,My school did not offer,"Athletics, Community Service","Yes, in both high school and college","Writing, Math",EDII,10,"University of Maryland, University of Colorado-Boulder, Northeastern University, Indiana University",Vanderbilt was my first choice,"Yes, but I did not submit it",No,1300,,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Academics, Campus, Student Life",Anchor Day (admitted students day),Peabody College of Education and Human Development,No,Human and Organizational Development (HOD),No,Stambaugh,Stambaugh,No,No,$0 ,"Yes, I plan to participate in IFC recruitment",4,2,5,7,7,7,4,2,7,1,"Yes, in my home state/country",Prefer not to answer,9-12 hours,"Instagram, TikTok",Once a week,Three times a week,Never,Never,None,No,Pennsylvania
None of the Above,South Sudan,No,AFRICAN,No,Heterosexual,Woman,No,No,Adventist,"Under $50,000",No,No,No,Private,My school did not offer,6,My school did not offer,My school did not offer,"Academic Clubs/Competition, Advocacy, Community Service, Dance, Family Responsibilities, Career-oriented internship, Journalism, Music, Model UN, Religious group, Research, Speech and Debate, Student Government, Theater, Visual Art","Yes, in both high school and college","Writing, Research, Coding",EDII,10,"Concordia college, Davidson college",Vanderbilt was not my first choice but was one of my top choices,No,No,,,No,"Academics, Faculty, Brand name/rankings",None,College of Arts of Science,No,Environmental Sociology,"Yes, as a pre-law student",Crawford,Hank Ingram,"Yes, more than half the cost of attendance",No,I don't know,Not sure,3,3,1,7,1,7,4,4,7,4,"Yes, in my home state/country",I am not eligible to vote,2-4 hours,"News websites/apps, Podcasts, Television, Instagram, Facebook, TikTok, Youtube",Never,Never,Never,Never,None,Yes,N/A (I have never owned a fake ID)
Tennessee,,No,White/Caucasian,No,Heterosexual,Man,No,Yes,Christian,"$50,000 - $74,999",No,No,No,Public,2,My school did not offer,10+,2,"Academic Clubs/Competition, Athletics, Community Service, Family Responsibilities, Religious group, Research, Student Government, Paid work","Yes, in high school but not in college",Research,Regular Decision,8,"UT Knoxville, MTSU, Memphis",Vanderbilt was my first choice,No,"Yes, and I submitted it",,35,No,"Cost, Academics, Post-grad opportunities","Campus tour, 'Dore For A Day, Commodore Launch",College of Arts of Science,No,Neuroscience,"Yes, as a pre-med student",East,East,"Yes, full cost of attendence",No,$0 ,No,5,2,1,7,4,5,4,1,6,4,"I am eligible to vote, but am not registered",,4-6 hours,"News websites/apps, Television, TikTok, Youtube",Never,Never,Never,Never,None,Yes,N/A (I have never owned a fake ID)
None of the Above,South Korea,No,Asian/Pacific Islander,No,Heterosexual,Man,No,No,"None (Atheist, Agnostic, etc.)","$75,000 - $99,999",No,No,No,Private,7,My school did not offer,7,My school did not offer,"Academic Clubs/Competition, Community Service, Music, Model UN, Research",No,,EDII,15,"Boston University, Boston College, Case Western Reserve University",Vanderbilt was not my first choice but was one of my top choices,No,No,,,No,"Academics, Faculty, Post-grad opportunities",None,College of Arts of Science,No,Biological Sciences,"Yes, as a pre-med student",Gillette,Hank Ingram,No,No,$0 ,No,4,4,4,4,4,4,4,5,5,4,I am not eligible to vote,,4-6 hours,"Instagram, Youtube",Once a week,Never,Never,Never,None,Yes,N/A (I have never owned a fake ID)
California,,No,White/Caucasian,No,Gay/lesbian,Man,No,No,Christian,"$300,000 - $499,999",No,No,No,Public,7,My school did not offer,2,1,"Advocacy, Athletics, Community Service, Religious group","Yes, in both high school and college","Research, Coding",Regular Decision,18,"Northwestern University, University of Southern California, University of California Los Angeles, Washington & Lee, University of Washington, Purdue University, University of California San Diego",Vanderbilt was not my first choice but was one of my top choices,"Yes, and I submitted it",No,1540,,"Yes, standardized testing (ACT/SAT) tutoring","Cost, Post-grad opportunities, Student Life",Anchor Day (admitted students day),College of Arts of Science,No,Public Policy Studies,No,Memorial,Memorial,No,"Yes, covers full tuition",$0 ,"Yes, I plan to participate in IFC recruitment",3,1,1,6,6,4,4,5,5,2,I am not eligible to vote,,1-2 hours,"News websites/apps, Television",Once a semester,Once a week,Never,Never,None,No,N/A (I have never owned a fake ID)
California,,No,Asian/Pacific Islander,No,Heterosexual,Woman,No,No,Christian,"Under $50,000",No,No,No,Public,7,7,7,7,"Academic Clubs/Competition, Advocacy, Community Service, Cultural and Affinity Clubs, Music, Paid work",No,,Regular Decision off the waitlist,26,,Vanderbilt was not my first choice but was one of my top choices,"Yes, but I did not submit it","Yes, and I submitted it",,,No,"Cost, Academics, Post-grad opportunities",Campus tour,College of Arts of Science,No,Biological Sciences,"Yes, as a pre-med student",Gillette,Hank Ingram,"Yes, full cost of attendence",No,$0 ,No,3,1,2,4,6,4,4,4,6,2,"Yes, in my home state/country",I intend to vote for Kamala Harris,2-4 hours,"News websites/apps, Instagram, Youtube",Never,Never,Never,Never,,No,N/A (I have never owned a fake ID)
None of the Above,China,No,Asian/Pacific Islander,No,Heterosexual,Man,No,Yes,"None (Atheist, Agnostic, etc.)","$150,000 - $199,999",No,No,No,Private,10+,My school did not offer,3,My school did not offer,"Academic Clubs/Competition, Music, Research","Yes, in both high school and college","Writing, Math",EDII,14,"UIUC, UCD, UCSB, UF",Vanderbilt was not my first choice but was one of my top choices,"Yes, and I submitted it","Yes, but I did not submit it",1530,30,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Academics, Brand name/rankings, Student Life",None,School of Engineering,No,Mechanical Engineering,No,East,Hank Ingram,No,No,$0 ,No,5,2,2,3,7,3,2,6,5,4,I am not eligible to vote,I intend to vote for Donald Trump,2-4 hours,"News websites/apps, Instagram, X (formerly Twitter), Youtube",Once a month,Never,Never,Never,None,Yes,N/A (I have never owned a fake ID)
Tennessee,,No,Asian/Pacific Islander,No,Heterosexual,Woman,No,No,"None (Atheist, Agnostic, etc.)","$100,000 - $149,999",No,No,No,Public,10+,My school did not offer,10+,0,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Music, Student Government","Yes, in college but not in high school",Math,Regular Decision,20,,I did not have a ranking of the schools I applied to,No,"Yes, and I submitted it",,36,No,"Location, Academics, School size","Campus tour, 'Dore For A Day",College of Arts of Science,No,Chemistry,"Yes, as a pre-med student",West,Hank Ingram,No,"Yes, covers partial tuition","$150,000 - $200,000",No,3,2,1,6,7,4,4,3,6,2,"Yes, in Tennessee",I intend to vote for Kamala Harris,4-6 hours,Youtube,Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Texas,,No,White/Caucasian,No,Heterosexual,Man,No,No,Christian,"$50,000 - $74,999",No,No,No,Public,8,My school did not offer,My school did not offer,6,"Academic Clubs/Competition, Community Service, Music, Paid work","Yes, in college but not in high school",image creation,Regular Decision off the waitlist,15,"Tyler Junior College, Texas A&M University, The University of Texas at Austin, The University of Texas at Dallas, The University of Texas at Arlington",Vanderbilt was not my first choice but was one of my top choices,"Yes, and I submitted it","Yes, and I submitted it",1520,33,No,"Cost, Academics, Campus",None,School of Engineering,No,Mechanical Engineering,No,Sutherland,Sutherland,"Yes, full cost of attendence",No,$0 ,No,5,1,1,7,1,6,4,1,6,3,I am registered to vote but do not vote,I do not intend to vote,4-6 hours,"Instagram, Youtube",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
None of the Above,China,No,Asian/Pacific Islander,No,Heterosexual,Woman,No,No,"None (Atheist, Agnostic, etc.)","$75,000 - $99,999",No,No,No,Public,7,My school did not offer,5,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Family Responsibilities, Music, Research, Speech and Debate, Student Government",No,,EDII,3,"uiuc, osu",Vanderbilt was not my first choice but was one of my top choices,No,"Yes, and I submitted it",,35,No,"Academics, Faculty, Student Life",None,Peabody College of Education and Human Development,"Yes, Peabody",Human and Organizational Development (HOD),No,North,Stambaugh,No,No,$0 ,No,4,4,4,4,4,4,4,5,6,4,I am not eligible to vote,I am not eligible to vote,2-4 hours,"News websites/apps, Instagram",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Maine,Deer Isle,No,White/Caucasian,No,Gay/lesbian,Man,No,No,"None (Atheist, Agnostic, etc.)","$75,000 - $99,999",No,No,No,Public,1,My school did not offer,My school did not offer,7,"Academic Clubs/Competition, Athletics, Music, Research, Theater",No,,EDI,1,,Vanderbilt was my first choice,"Yes, but I did not submit it","Yes, but I did not submit it",1410,26,No,"Cost, Academics, Student Life",None,College of Arts of Science,No,Biochemistry and Chemical Biology,No,Hank Ingram,Hank Ingram,"Yes, more than half the cost of attendance",No,"$10,000 - $14,999",Not sure,2,5,3,6,7,7,6,6,7,1,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,TikTok,Once a month,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Texas,,No,Hispanic,Yes,Questioning/unsure,Woman,No,Yes,"None (Atheist, Agnostic, etc.)","Under $50,000",No,No,No,Public,6,My school did not offer,5,My school did not offer,"Academic Clubs/Competition, Community Service, Student Government","Yes, in high school but not in college",Math,EDII,6,"Texas A&M, University of Texas at Austin",Vanderbilt was my first choice,"Yes, but I did not submit it",No,1270,,No,"Cost, Academics, Student Life",None,College of Arts of Science,No,Biochemistry and Chemical Biology,No,East,Memorial,"Yes, full cost of attendence",No,$0 ,Not sure,1,6,1,5,7,7,4,7,7,2,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,"TikTok, Youtube",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
New Jersey,,No,Asian/Pacific Islander,No,Heterosexual,Man,No,No,Hindu,"$300,000 - $499,999",No,No,No,Public,10+,My school did not offer,10+,0,"Academic Clubs/Competition, Athletics, Community Service, Family Responsibilities, Music, Research, Paid work",No,,Regular Decision,15,"Emory, Rutgers, NJIT, UMD, IU Kelley",Vanderbilt was my first choice,"Yes, and I submitted it",No,1520,,No,"Cost, Academics, Brand name/rankings","Campus tour, Commodore Launch",Blair School of Music,"Yes, A&S",Economics,No,North,North,No,"Yes, covers full tuition",$0 ,Not sure,4,4,2,4,4,2,4,4,6,4,"I am eligible to vote, but am not registered",,2-4 hours,"News websites/apps, Television, Instagram, TikTok",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Tennessee,,No,Asian/Pacific Islander,No,Heterosexual,Man,No,No,"None (Atheist, Agnostic, etc.)","$50,000 - $74,999",No,No,No,Public,10+,My school did not offer,10+,3,"Academic Clubs/Competition, Athletics, Community Service, Cultural and Affinity Clubs, Music","Yes, in both high school and college",Math,EDII,18,"University of Tennessee Knoxville, Purdue, The Ohio State University, Virginia Tech, UIUC",Vanderbilt was not my first choice but was one of my top choices,"Yes, and I submitted it","Yes, and I submitted it",1570,35,No,"Cost, Location, Academics",Anchor Day (admitted students day),School of Engineering,No,Computer Science,No,East,Memorial,"Yes, full cost of attendence",No,$0 ,No,2,1,1,5,6,5,4,4,6,3,"Yes, in Tennessee",Prefer not to answer,2-4 hours,"Instagram, Youtube",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
North Carolina,,No,White/Caucasian,No,Heterosexual,Man,No,No,Christian,"$200,000 - $299,999","Yes, both parents, Yes, extended family",No,Yes,Public,7,My school did not offer,My school did not offer,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Career-oriented internship, Paid work","Yes, in high school but not in college","Writing, Coding, Math",EDII,16,"Naval Academy, Air force Academy, Coast Guard Academy, NC State, Auburn, Clemson, Virginia Tech, RPI",Vanderbilt was my first choice,"Yes, but I did not submit it","Yes, but I did not submit it",1420,32,"Yes, standardized testing (ACT/SAT) tutoring","Location, Academics, Campus",Campus tour,School of Engineering,No,Mechanical Engineering,No,West,West,No,No,$0 ,"Yes, I plan to participate in IFC recruitment",4,5,6,5,7,3,5,3,6,2,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Podcasts",Once a semester,Prefer not to answer,Never,Never,None,No,N/A (I have never owned a fake ID)
New Jersey,,No,African American/Black,Yes,Heterosexual,Woman,No,Yes,Christian,"Under $50,000",No,No,No,Charter,4,My school did not offer,My school did not offer,5,"Community Service, Cultural and Affinity Clubs, Career-oriented internship, Religious group",No,,Regular Decision,20,,Vanderbilt was not my first choice nor was it among my top choices,No,No,,,No,"Cost, Location, Brand name/rankings",None,School of Engineering,No,Computer Science,No,West,West,"Yes, full cost of attendence",No,$0 ,No,4,4,4,4,4,4,4,4,4,4,I am not eligible to vote,,4-6 hours,"News websites/apps, Podcasts, Television, Instagram, X (formerly Twitter)",Never,Never,Never,Never,None,Prefer not to answer,N/A (I have never owned a fake ID)
New York,,Yes,White/Caucasian,Yes,Heterosexual,Man,No,No,Jewish,"$200,000 - $299,999",No,No,No,Public,My school did not offer,My school did not offer,My school did not offer,10+,"Athletics, Community Service, Journalism, Student Government, Paid work","Yes, in both high school and college","Writing, Research, Math",EDI,12,N/a,Vanderbilt was my first choice,No,"Yes, and I submitted it",,34,"Yes, standardized testing (ACT/SAT) tutoring","Academics, Campus, Student Life",None,College of Arts of Science,"Yes, Engineering",Biomedical Engineering,"Yes, as a pre-med student",Memorial,Hank Ingram,No,"Yes, covers full tuition",$0 ,"Yes, I plan to participate in IFC recruitment",4,4,2,7,6,5,7,4,6,2,"Yes, in my home state/country",I intend to vote for Kamala Harris,6-9 hours,"News websites/apps, Instagram, Other social media",Once a month,Once a week,Once a month,Once a semester,None,Yes,"Connecticut, New York"
Tennessee,,No,Asian/Pacific Islander,No,Questioning/unsure,Woman,No,No,"None (Atheist, Agnostic, etc.)","Under $50,000",No,No,No,Public,3,My school did not offer,10+,2,"Advocacy, Community Service, Family Responsibilities, Speech and Debate, Paid work","Yes, in both high school and college",Writing,Regular Decision,10,"Rhodes college, utc, utk, Belmont university, Loyola university, ",Vanderbilt was not my first choice but was one of my top choices,No,"Yes, but I did not submit it",,26,No,"Cost, Location, Academics",Anchor Day (admitted students day),College of Arts of Science,"Yes, Peabody","Law, History, and Society","Yes, as a pre-law student",Crawford,Stambaugh,"Yes, full cost of attendence",No,$0 ,No,1,7,1,3,7,6,2,4,7,4,"Yes, in Tennessee",I intend to vote for Kamala Harris,4-6 hours,"Podcasts, Instagram, TikTok, X (formerly Twitter), Youtube",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
None of the Above,Russia,No,White/Caucasian,No,Heterosexual,Woman,No,No,Christian,"Under $50,000",No,No,No,Public,My school did not offer,My school did not offer,My school did not offer,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Dance, Family Responsibilities, Career-oriented internship, Music, Research","Yes, in both high school and college","Writing, Research",Regular Decision,20,"Rice University, Georgia Tech, University of Wisconsin-Madison, University of Virginia, Colorado State University",Vanderbilt was not my first choice but was one of my top choices,"Yes, and I submitted it",No,1500,,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Cost, Location, Academics",None,College of Arts of Science,No,Economics,No,Hank Ingram,Hank Ingram,"Yes, full cost of attendence",No,$0 ,No,6,2,3,7,4,4,4,1,7,4,"Yes, in my home state/country",I intend to vote for Donald Trump,4-6 hours,"News websites/apps, Instagram, TikTok, Youtube",Never,Never,Never,Never,None,Prefer not to answer,N/A (I have never owned a fake ID)
New Jersey,,No,White/Caucasian,No,Heterosexual,Woman,No,No,Jewish,"$300,000 - $499,999",No,No,No,Private,My school did not offer,My school did not offer,My school did not offer,My school did not offer,"Advocacy, Athletics, Community Service, Cultural and Affinity Clubs, Religious group, Student Government, Paid work","Yes, in both high school and college","Writing, Math",Regular Decision,19,,Vanderbilt was not my first choice nor was it among my top choices,No,No,,,No,"Academics, Faculty, Student Life","Campus tour, Commodore Launch, Anchor Day (admitted students day)",Peabody College of Education and Human Development,No,Child Development,No,Hank Ingram,Hank Ingram,No,No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",2,6,2,6,6,4,4,7,7,1,"Yes, in my home state/country",I intend to vote for Kamala Harris,2-4 hours,"News websites/apps, Podcasts, TikTok",Twice a week,Twice a week,Once a month,Once a semester,None,Yes,New Jersey
Florida,,Yes,"White/Caucasian, Asian/Pacific Islander",No,Bisexual/pansexual,Woman,No,No,Christian,"Under $50,000",No,No,No,Public,10+,My school did not offer,10+,0,"Academic Clubs/Competition, Athletics, Family Responsibilities, Music, Theater","Yes, in both high school and college","Math, Explaining a concept that was unclear",EDI,8,"University of Central Florida, University of South Carolina, Vassar College",Vanderbilt was my first choice,"Yes, and I submitted it",No,1520,,No,"Cost, Academics, Brand name/rankings",None,School of Engineering,"Yes, A&S",Biochemistry and Chemical Biology,"Yes, as a pre-med student",Hank Ingram,Gillette,"Yes, more than half the cost of attendance","Yes, covers partial tuition",$0 ,"Yes, I plan to participate in Panhellenic recruitment",3,3,2,5,7,5,4,2,6,1,I am not eligible to vote,I am not eligible to vote,6-9 hours,"News websites/apps, TikTok",Once a week,Once a week,Three times a week,Twice a week,Adderall,Yes,Georgia
None of the Above,South Korea,No,Asian/Pacific Islander,No,Heterosexual,Woman,No,No,Christian,"$100,000 - $149,999",No,No,No,Private,10+,My school did not offer,5,My school did not offer,"Athletics, Community Service, Dance, Religious group, Student Government, Paid work","Yes, in high school but not in college","Writing, Coding, Math",EDII,15,,Vanderbilt was not my first choice but was one of my top choices,"Yes, but I did not submit it",No,1440,,"Yes, standardized testing (ACT/SAT) tutoring","Academics, Brand name/rankings, Student Life",None,School of Engineering,No,Chemical Engineering,No,Crawford,Hank Ingram,No,No,$0 ,No,4,3,5,5,4,3,4,5,6,3,I am not eligible to vote,,4-6 hours,"Instagram, TikTok, Youtube",Once a semester,Once a semester,Never,Never,,No,N/A (I have never owned a fake ID)
California,,No,Asian/Pacific Islander,No,Heterosexual,Man,No,No,"None (Atheist, Agnostic, etc.)","$500,000 - $749,999",No,No,No,Private,2,My school did not offer,7,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Career-oriented internship","Yes, in both high school and college","Writing, Research, Coding",Regular Decision,14,,Vanderbilt was my first choice,"Yes, and I submitted it",No,1540,,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Location, Academics, Student Life","Campus tour, Anchor Day (admitted students day)",Peabody College of Education and Human Development,No,Cognitive Studies,No,North,Hank Ingram,No,No,$0 ,No,3,2,3,7,6,2,2,4,6,2,"Yes, in my home state/country",I intend to vote for Kamala Harris,2-4 hours,Instagram,Once a week,Once a week,Once a week,Once a month,"Adderall, LSD (Acid), Psilocybin (Shrooms)",Yes,California
New York,,No,White/Caucasian,No,Heterosexual,Woman,No,No,Christian,"$150,000 - $199,999",No,No,No,Public,5,My school did not offer,0,0,"Academic Clubs/Competition, Athletics, Community Service, Research, Paid work","Yes, in both high school and college","Writing, Math",Regular Decision off the waitlist,7,"Penn State, Clemson, and Michigan State",Vanderbilt was not my first choice but was one of my top choices,No,"Yes, and I submitted it",,32,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Academics, Brand name/rankings, Campus",None,Peabody College of Education and Human Development,No,Elementary Education,No,Hank Ingram,Stambaugh,No,No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",4,1,5,6,7,5,4,5,5,2,"Yes, in my home state/country",I intend to vote for Kamala Harris,2-4 hours,"Television, Instagram, TikTok",Once a month,Once a week,Never,Never,None,No,N/A (I have never owned a fake ID)
Indiana,,No,White/Caucasian,No,Heterosexual,Woman,No,No,Christian,"$50,000 - $74,999",No,No,Yes,Private,5,My school did not offer,3,My school did not offer,"Athletics, Community Service, Career-oriented internship, Religious group, Paid work","Yes, in both high school and college",Writing,EDII,6,"UNC, Notre Dame, Boston College",Vanderbilt was not my first choice but was one of my top choices,"Yes, and I submitted it",No,1470,,"Yes, college counseling","Location, Academics, School size","Campus tour, 'Dore For A Day",College of Arts of Science,No,Biological Sciences,"Yes, as a pre-med student",Memorial,Hank Ingram,No,No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",4,3,3,4,7,3,4,1,4,1,"Yes, in my home state/country",I intend to vote for Kamala Harris,1-2 hours,"News websites/apps, Podcasts, TikTok",Never,Never,Once a semester,Once a semester,Adderall,Yes,"Indiana, Texas"
None of the Above,Japan,No,Asian/Pacific Islander,No,Questioning/unsure,Man,No,No,Hindu,"Under $50,000",No,No,No,Private,7,7,7,7,Family Responsibilities,No,,Regular Decision,2,Yes,Vanderbilt was my first choice,"Yes, and I submitted it",No,1540,,No,"Academics, Brand name/rankings, Campus",None,College of Arts of Science,No,Computer Science,No,West,West,"Yes, full cost of attendence","Yes, covers full tuition",$0 ,Not sure,7,7,7,7,7,7,7,7,7,7,I am not eligible to vote,I intend to vote for Kamala Harris,Less than an hour,X (formerly Twitter),Never,Never,Never,Never,,No,N/A (I have never owned a fake ID)
Missouri,,No,White/Caucasian,No,Bisexual/pansexual,Nonbinary or gender nonconforming,Yes,No,Pagan,"Under $50,000",No,No,No,Public,7,My school did not offer,8,0,"Athletics, Community Service, Family Responsibilities, Music, Model UN, Speech and Debate, Paid work",No,,EDI,12,"Mizzou, UMKC, UMSL, Truman State, Bama, Arkansas, Webster",Vanderbilt was my first choice,No,"Yes, and I submitted it",,36,No,"Location, Academics, Faculty",None,Blair School of Music,No,Music Integrated Studies,No,North,North,"Yes, full cost of attendence",No,$0 ,No,1,5,1,4,7,5,6,7,4,4,"Yes, in my home state/country",I intend to vote for Kamala Harris,2-4 hours,"News websites/apps, Other social media, Tumblr",Never,Never,Never,Never,"Adderall, Prescription Opioids (Oxy), They were prescribed to me.",Yes,N/A (I have never owned a fake ID)
